Actual,Predicted
2511.2375,1150.8984
480.20512,1150.8986
2017.5687,1150.8986
760.14012,1150.8986
220.395,1150.8986
25.226724,1150.8986
0.056666667,1150.8984
2497.5328,1150.8984
514.64722,1150.8986
916.91916,1150.8986
1911.9451,1150.8986
35.146667,1150.8986
2449.0381,1150.8986
38.837352,1150.8986
823.41111,1150.8986
2274.6464,1150.8984
1123.3994,1150.8984
946.53167,1150.8986
1651.1381,1150.8986
164.66754,1150.8986
1961.0203,1150.8986
262.74306,1150.8986
12.823696,1150.8986
2560.7287,1150.8986
1318.5103,1150.8986
2465.7414,1150.8986
2596.7036,1150.8984
1076.2814,1150.8986
2154.7399,1150.8986
1770.4435,1150.8986
2402.6186,1150.8986
2360.8703,1150.8986
171.27389,1150.8986
26.84328,1150.8986
16.948857,1150.8986
2367.1156,1150.8986
418.90865,1150.8986
3.5764493,1150.8984
2153.3583,1150.8986
687.91423,1150.8984
209.04958,1150.8984
1046.3192,1150.8986
505.02472,1150.8986
2109.4303,1150.8986
438.925,1150.8986
414.53583,1150.8986
1270.4655,1150.8986
2511.0203,1150.8986
1786.2442,1150.8986
1218.4761,1150.8986
24.00564,1150.8986
882.27554,1150.8984
2553.4117,1150.8984
1198.3275,1150.8986
446.25336,1150.8986
1827.9522,1150.8984
86.066977,1150.8986
0.746875,1150.8986
2824.6611,1150.8986
1312.5211,1150.8986
5.625,1150.8986
316.02919,1150.8986
62.988136,1150.8984
2259.8092,1150.8986
16.812366,1150.8986
9.5052083,1150.8986
2650.575,1150.8984
3042.2762,1150.8986
450.07239,1150.8986
313.83194,1150.8986
1.5972678,1150.8984
393.79111,1150.8986
296.52917,1150.8986
1805.9656,1150.8986
1.2372549,1150.8986
398.88417,1150.8986
130.56522,1150.8986
769.56467,1150.8986
492.76944,1150.8986
1379.4865,1150.8986
2166.6904,1150.8986
480.73468,1150.8986
1628.6581,1150.8986
22.832843,1150.8986
2418.4975,1150.8984
1742.7047,1150.8986
517.72917,1150.8986
0.0375,1150.8986
2611.8014,1150.8984
107.88273,1150.8986
2496.2165,1150.8984
968.71618,1150.8986
1757.9489,1150.8986
23.547222,1150.8986
126.20889,1150.8986
1610.95,1150.8986
1954.2814,1150.8986
2497.0871,1150.8984
1336.054,1150.8986
1966.1829,1150.8986
688.22314,1150.8986
2399.8932,1150.8986
20.239352,1150.8986
561.84361,1150.8986
2382.9092,1150.8986
2019.1516,1150.8986
13.023446,1150.8986
40.009167,1150.8986
321.61207,1150.8986
813.86954,1150.8986
420.62583,1150.8986
109.12147,1150.8986
2526.3101,1150.8984
433.4925,1150.8984
62.365278,1150.8984
43.092302,1150.8986
303.14472,1150.8986
2899.872,1150.8986
7.6198024,1150.8984
52.402778,1150.8986
2358.2981,1150.8986
2279.8557,1150.8986
2155.6358,1150.8984
1331.9139,1150.8986
1976.1534,1150.8984
1938.8014,1150.8986
1804.2872,1150.8986
10.725232,1150.8986
2797.9506,1150.8986
2.1630428,1150.8984
814.23306,1150.8986
2724.477,1150.8986
51.456436,1150.8986
74.302778,1150.8986
531.01583,1150.8986
2467.1889,1150.8986
344.17139,1150.8986
433.01694,1150.8986
418.6265,1150.8986
451.43028,1150.8986
2506.9982,1150.8984
2135.084,1150.8986
22.528889,1150.8986
2499.1097,1150.8986
2368.6936,1150.8984
513.90689,1150.8986
1368.8592,1150.8984
2477.8934,1150.8986
86.817611,1150.8984
2245.0872,1150.8986
67.755711,1150.8984
